date,registrations,paper_trades,cumulative_registrations
2026-02-03,2,2,2
2026-02-04,0,0,2
2026-02-05,2,1,4
2026-02-06,0,0,4
2026-02-07,2,0,6
2026-02-08,1,0,7
2026-02-09,2,0,9
2026-02-10,2,3,11
2026-02-11,3,3,14
2026-02-12,0,1,14
2026-02-13,1,0,15
2026-02-14,2,2,17
2026-02-15,4,0,21
2026-02-16,3,0,24
2026-02-17,1,0,25
2026-02-18,1,2,26
2026-02-19,1,2,27
2026-02-20,3,0,30
2026-02-21,1,0,31
2026-02-22,1,0,32
2026-02-23,1,1,33
2026-02-24,0,0,33
2026-02-25,2,2,35
2026-02-26,2,0,37
2026-02-27,0,0,37
2026-02-28,1,2,38
2026-03-01,3,0,41
2026-03-02,1,0,42
2026-03-03,2,1,44
2026-03-04,3,1,47
2026-03-05,3,0,50
2026-03-06,2,0,52
2026-03-07,2,0,54
2026-03-08,4,0,58
2026-03-09,2,1,60
2026-03-10,6,0,66
2026-03-11,2,0,68
2026-03-12,3,0,71
2026-03-13,4,0,75
2026-03-14,2,1,77
2026-03-15,3,1,80
2026-03-16,4,1,84
2026-03-17,3,0,87
2026-03-18,3,1,90
2026-03-19,2,1,92
2026-03-20,4,3,96
2026-03-21,3,0,99
2026-03-22,5,0,104
2026-03-23,6,0,110
2026-03-24,4,5,114
2026-03-25,6,3,120
2026-03-26,5,0,125
2026-03-27,3,2,128
2026-03-28,7,0,135
2026-03-29,5,1,140
2026-03-30,5,3,145
2026-03-31,7,3,152
2026-04-01,5,2,157
2026-04-02,6,1,163
2026-04-03,4,0,167
2026-04-04,8,3,175
2026-04-05,7,4,182
2026-04-06,7,0,189
2026-04-07,7,0,196
2026-04-08,9,3,205
2026-04-09,6,0,211
2026-04-10,11,1,222
2026-04-11,9,0,231
2026-04-12,10,4,241
2026-04-13,14,1,255
2026-04-14,10,1,265
2026-04-15,9,0,274
2026-04-16,13,0,287
2026-04-17,12,4,299
2026-04-18,14,0,313
2026-04-19,14,2,327
2026-04-20,18,5,345
2026-04-21,17,3,362
2026-04-22,12,5,374
2026-04-23,19,3,393
2026-04-24,15,4,408
2026-04-25,16,3,424
2026-04-26,21,2,445
2026-04-27,18,2,463
2026-04-28,15,2,478
2026-04-29,16,5,494
2026-04-30,18,2,512
2026-05-01,18,3,530
2026-05-02,21,3,551
2026-05-03,14,1,565
2026-05-04,128,27,693
2026-05-05,96,24,789
2026-05-06,84,19,873
2026-05-07,49,12,922
2026-05-08,34,9,956
2026-05-09,71,25,1027
2026-05-10,50,17,1077
2026-05-11,52,18,1129
2026-05-12,51,20,1180
2026-05-13,51,22,1231
2026-05-14,52,19,1283
