date,tci,tfc,tmc,toi,tcos_absolute,tcos_percent,methodology_version,has_stale
2026-02-03,1003.72,996.79,1003.78,1012.90,-16.11,-1.5903,1.0.0,false
2026-02-04,1006.49,999.90,1005.63,1016.12,-16.22,-1.5958,1.0.0,false
2026-02-05,1007.61,1001.42,1006.83,1016.66,-15.24,-1.4988,1.0.0,false
2026-02-06,1006.77,997.24,1007.68,1018.57,-21.33,-2.0939,1.0.0,false
2026-02-07,1006.10,996.29,1007.44,1017.83,-21.53,-2.1157,1.0.0,false
2026-02-08,1005.14,998.63,1003.74,1015.20,-16.56,-1.6316,1.0.0,false
2026-02-09,1005.11,1000.11,1001.53,1015.37,-15.26,-1.5028,1.0.0,false
2026-02-10,1004.43,1000.40,1000.59,1013.64,-13.24,-1.3067,1.0.0,false
2026-02-11,1002.78,996.08,999.54,1014.96,-18.89,-1.8608,1.0.0,false
2026-02-12,1004.68,1000.95,999.63,1014.70,-13.75,-1.3554,1.0.0,false
2026-02-13,1004.18,999.87,1001.05,1013.07,-13.20,-1.3028,1.0.0,false
2026-02-14,1004.49,1001.04,1001.79,1011.79,-10.75,-1.0625,1.0.0,false
2026-02-15,1002.16,996.39,1004.99,1007.00,-10.61,-1.0531,1.0.0,false
2026-02-16,1001.26,995.09,1004.41,1006.32,-11.24,-1.1167,1.0.0,false
2026-02-17,1002.70,995.36,1005.34,1009.84,-14.49,-1.4347,1.0.0,false
2026-02-18,1001.54,996.76,1001.77,1007.68,-10.92,-1.0839,1.0.0,false
2026-02-19,1002.76,1000.38,1002.34,1006.36,-5.97,-0.5936,1.0.0,false
2026-02-20,1002.38,999.00,1002.78,1006.47,-7.47,-0.7418,1.0.0,false
2026-02-21,1003.45,1000.10,1004.44,1006.93,-6.83,-0.6781,1.0.0,false
2026-02-22,1004.50,1003.22,1002.94,1007.76,-4.54,-0.4507,1.0.0,false
2026-02-23,1006.26,1007.71,1000.49,1010.09,-2.38,-0.2353,1.0.0,false
2026-02-24,1005.19,1005.25,1000.22,1010.08,-4.84,-0.4788,1.0.0,false
2026-02-25,1004.83,1003.61,1001.28,1010.01,-6.40,-0.6332,1.0.0,false
2026-02-26,1005.26,1001.80,1003.54,1011.59,-9.79,-0.9680,1.0.0,false
2026-02-27,1003.15,999.42,1001.35,1009.93,-10.51,-1.0402,1.0.0,false
2026-02-28,1004.52,1001.95,1003.72,1008.74,-6.79,-0.6729,1.0.0,false
2026-03-01,1003.80,1004.83,1000.68,1005.55,-0.72,-0.0717,1.0.0,false
2026-03-02,1005.10,1010.59,1000.20,1002.67,7.92,0.7901,1.0.0,false
2026-03-03,1003.92,1006.91,1002.37,1001.47,5.44,0.5431,1.0.0,false
2026-03-04,1003.57,1005.01,1000.67,1004.55,0.46,0.0461,1.0.0,false
2026-03-05,1001.90,1001.81,997.62,1006.28,-4.47,-0.4438,1.0.0,false
2026-03-06,1003.79,1004.96,998.72,1007.28,-2.32,-0.2298,1.0.0,false
2026-03-07,1004.93,1007.80,999.09,1006.95,0.85,0.0845,1.0.0,false
2026-03-08,1005.30,1008.35,999.98,1006.56,1.79,0.1782,1.0.0,false
2026-03-09,1003.01,1005.79,998.86,1003.46,2.33,0.2320,1.0.0,false
2026-03-10,1001.54,1003.66,997.33,1002.91,0.74,0.0739,1.0.0,false
2026-03-11,998.52,996.36,997.56,1002.38,-6.02,-0.6003,1.0.0,false
2026-03-12,997.86,997.19,998.07,998.54,-1.35,-0.1352,1.0.0,false
2026-03-13,996.13,992.74,998.16,998.63,-5.89,-0.5895,1.0.0,false
2026-03-14,995.63,992.28,997.12,998.60,-6.32,-0.6328,1.0.0,false
2026-03-15,994.61,989.25,996.28,1000.07,-10.81,-1.0813,1.0.0,false
2026-03-16,995.40,992.08,996.88,998.34,-6.26,-0.6268,1.0.0,false
2026-03-17,994.76,991.80,994.55,998.93,-7.13,-0.7134,1.0.0,false
2026-03-18,996.00,991.90,997.66,999.81,-7.91,-0.7913,1.0.0,false
2026-03-19,996.94,993.95,996.70,1001.16,-7.22,-0.7207,1.0.0,false
2026-03-20,996.35,993.77,995.07,1001.06,-7.30,-0.7289,1.0.0,false
2026-03-21,995.20,992.15,993.47,1000.99,-8.84,-0.8830,1.0.0,false
2026-03-22,994.92,989.92,993.39,1003.13,-13.21,-1.3173,1.0.0,false
2026-03-23,994.95,991.67,994.60,999.65,-7.98,-0.7981,1.0.0,false
2026-03-24,995.67,994.33,994.00,999.10,-4.77,-0.4775,1.0.0,false
2026-03-25,995.42,994.84,993.19,998.42,-3.59,-0.3591,1.0.0,false
2026-03-26,996.73,997.23,994.07,998.74,-1.50,-0.1504,1.0.0,false
2026-03-27,996.28,996.29,995.95,996.58,-0.29,-0.0289,1.0.0,false
2026-03-28,995.65,994.44,994.76,998.17,-3.73,-0.3736,1.0.0,false
2026-03-29,997.81,998.35,998.86,996.03,2.32,0.2330,1.0.0,false
2026-03-30,999.15,997.72,1000.33,999.89,-2.17,-0.2175,1.0.0,false
2026-03-31,999.09,998.68,1001.23,997.49,1.19,0.1191,1.0.0,false
2026-04-01,999.93,999.62,1002.33,997.94,1.68,0.1680,1.0.0,false
2026-04-02,1001.18,999.66,1003.88,1000.49,-0.83,-0.0828,1.0.0,false
2026-04-03,1001.55,1000.78,1001.72,1002.39,-1.61,-0.1609,1.0.0,false
2026-04-04,1001.35,1000.81,1000.01,1003.40,-2.58,-0.2574,1.0.0,false
2026-04-05,1001.37,1002.20,999.64,1001.99,0.21,0.0214,1.0.0,false
2026-04-06,1000.54,1000.32,1003.41,997.98,2.34,0.2347,1.0.0,false
2026-04-07,1002.72,1006.29,1004.59,996.07,10.22,1.0260,1.0.0,false
2026-04-08,1000.77,1003.71,1001.56,996.07,7.64,0.7671,1.0.0,false
2026-04-09,999.72,1001.40,1000.58,996.61,4.79,0.4804,1.0.0,false
2026-04-10,1002.14,1005.49,1000.67,999.15,6.34,0.6342,1.0.0,false
2026-04-11,1000.93,1002.01,1001.96,998.46,3.55,0.3553,1.0.0,false
2026-04-12,999.26,997.80,1002.24,998.22,-0.42,-0.0425,1.0.0,false
2026-04-13,998.65,995.85,1002.44,998.58,-2.73,-0.2733,1.0.0,false
2026-04-14,998.48,994.75,1001.28,1000.65,-5.89,-0.5887,1.0.0,false
2026-04-15,999.47,995.31,1001.73,1002.76,-7.45,-0.7432,1.0.0,false
2026-04-16,1000.69,997.23,1001.13,1004.86,-7.63,-0.7590,1.0.0,false
2026-04-17,999.47,992.99,1001.84,1005.75,-12.75,-1.2681,1.0.0,false
2026-04-18,998.42,992.00,1000.90,1004.49,-12.49,-1.2439,1.0.0,false
2026-04-19,999.64,994.10,999.32,1007.36,-13.25,-1.3157,1.0.0,false
2026-04-20,1001.00,996.10,1000.32,1008.23,-12.12,-1.2024,1.0.0,false
2026-04-21,1001.86,997.77,1001.62,1007.57,-9.80,-0.9730,1.0.0,false
2026-04-22,1002.80,1000.91,999.91,1008.21,-7.30,-0.7241,1.0.0,false
2026-04-23,1003.36,1002.67,999.03,1008.61,-5.94,-0.5886,1.0.0,false
2026-04-24,1004.07,1001.60,1000.51,1010.92,-9.31,-0.9213,1.0.0,false
2026-04-25,1005.35,1005.04,1002.83,1008.29,-3.25,-0.3224,1.0.0,false
2026-04-26,1006.10,1004.44,1003.85,1010.57,-6.14,-0.6074,1.0.0,false
2026-04-27,1006.01,1005.01,1001.98,1011.36,-6.35,-0.6279,1.0.0,false
2026-04-28,1005.53,1004.68,1001.25,1010.95,-6.27,-0.6203,1.0.0,false
2026-04-29,1006.22,1006.25,1001.91,1010.49,-4.23,-0.4188,1.0.0,false
2026-04-30,1005.78,1007.37,1001.36,1008.09,-0.72,-0.0718,1.0.0,false
2026-05-01,1003.61,1004.65,1002.02,1003.81,0.84,0.0837,1.0.0,false
2026-05-02,1001.18,998.83,1002.36,1003.15,-4.32,-0.4303,1.0.0,false
2026-05-03,1001.00,1000.92,1000.85,1001.26,-0.34,-0.0340,1.0.0,false
2026-05-04,1000.00,1000.00,1000.00,1000.00,0.00,0.0000,1.0.0,false
